ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00003000: $16 <= 00000068
@00003004: *00000004 <= 00000068
@00003008: $16 <= 0000000c
@0000300c: *00000008 <= 0000000c
@00003010: $16 <= 0000005c
@00003014: *0000000c <= 0000005c
@00003018: $16 <= 00000050
@0000301c: *00000010 <= 00000050
@00003020: $16 <= 0000004c
@00003024: *00000014 <= 0000004c
@00003028: $16 <= 00000044
@0000302c: *00000018 <= 00000044
@00003030: $16 <= 00000038
@00003034: *0000001c <= 00000038
@00003038: $16 <= 0000006c
@0000303c: *00000020 <= 0000006c
@00003040: $16 <= 00000040
@00003044: *00000024 <= 00000040
@00003048: $16 <= 00000004
@0000304c: *00000028 <= 00000004
@00003050: $16 <= 00000010
@00003054: *0000002c <= 00000010
@00003058: $16 <= 00000074
@0000305c: *00000030 <= 00000074
@00003060: $16 <= 0000001c
@00003064: *00000034 <= 0000001c
@00003068: $16 <= 00000060
@0000306c: *00000038 <= 00000060
@00003070: $16 <= 0000002c
@00003074: *0000003c <= 0000002c
@00003078: $16 <= 00000008
@0000307c: *00000040 <= 00000008
@00003080: $16 <= 00000014
@00003084: *00000044 <= 00000014
@00003088: $16 <= 00000028
@0000308c: *00000048 <= 00000028
@00003090: $16 <= 00000058
@00003094: *0000004c <= 00000058
@00003098: $16 <= 00000048
@0000309c: *00000050 <= 00000048
@000030a0: $16 <= 00000020
@000030a4: *00000054 <= 00000020
@000030a8: $16 <= 00000064
@000030ac: *00000058 <= 00000064
@000030b0: $16 <= 00000034
@000030b4: *0000005c <= 00000034
@000030b8: $16 <= 00000078
@000030bc: *00000060 <= 00000078
@000030c0: $16 <= 00000018
@000030c4: *00000064 <= 00000018
@000030c8: $16 <= 0000003c
@000030cc: *00000068 <= 0000003c
@000030d0: $16 <= 00000054
@000030d4: *0000006c <= 00000054
@000030d8: $16 <= 00000070
@000030dc: *00000070 <= 00000070
@000030e0: $16 <= 00000030
@000030e4: *00000074 <= 00000030
@000030e8: $16 <= 00000024
@000030ec: *00000078 <= 00000024
@000030f0: $ 1 <= 00005b25
@000030f4: $ 2 <= 00005b25
@000030f8: $ 3 <= 00005b25
@000030fc: $ 4 <= 00005b25
@00003100: $ 5 <= 00005b25
@00003104: $ 6 <= 00005b25
@00003108: $ 7 <= 00005b25
@0000310c: $ 8 <= 00005b25
@00003110: $ 9 <= 00005b25
@00003114: $10 <= 00005b25
@00003118: $11 <= 00005b25
@0000311c: $12 <= 00005b25
@00003120: $13 <= 00005b25
@00003124: $14 <= 00005b25
@00003128: $15 <= 00005b25
@0000312c: $16 <= 00005b25
@00003130: $17 <= 00005b25
@00003134: $18 <= 00005b25
@00003138: $19 <= 00005b25
@0000313c: $20 <= 00005b25
@00003140: $21 <= 00005b25
@00003144: $22 <= 00005b25
@00003148: $23 <= 00005b25
@0000314c: $24 <= 00005b25
@00003150: $25 <= 00005b25
@00003154: $26 <= 00005b25
@00003158: $27 <= 00005b25
@0000315c: $28 <= 00005b25
@00003160: $29 <= 00005b25
@00003164: $30 <= 00005b25
@00003168: $31 <= 00005b25
@0000316c: $ 8 <= 00000008
@00003170: $10 <= ffffd000
@00003174: $31 <= 00000018
@00003178: $31 <= 00000044
@0000317c: $31 <= 00000014
@00003184: $31 <= 0000001c
@00003188: $31 <= 00000020
@0000318c: $31 <= 00000000
@00003190: $31 <= 00000000
@00003194: $31 <= 00000000
@0000319c: $31 <= 00000008
@000031a0: $31 <= 000031b0
@000031a8: $31 <= 000031b8
@000031b0: $31 <= 00000004
@000031b4: $31 <= 00000068
@000031b8: $31 <= 0000003c
@000031c0: $31 <= 00000044
@000031c4: $31 <= 000031d4
@000031cc: *000011d4 <= 000031d4
@000031d4: $31 <= 0000001c
@000031d8: $31 <= 00000038
@000031dc: $31 <= 00000060
@000031e4: $31 <= 00000068
@000031e8: $31 <= 000031f8
@000031ec: $11 <= 000031f4
@000031f0: $31 <= 00003200
@000031f8: $31 <= 00000014
@000031fc: $31 <= 0000004c
@00003200: $31 <= 00000058
@00003208: $31 <= 00000060
@0000320c: $31 <= 0000321c
@00003210: $11 <= 00003218
@00003214: $31 <= 00003224
@0000321c: $31 <= 00000010
@00003220: $31 <= 00000050
@00003224: $31 <= 00000048
@0000322c: $31 <= 0000004c
@00003230: $31 <= 00000058
@00003234: $31 <= 00000008
@00003238: $31 <= 0000000c
@0000323c: $31 <= 0000005c
@00003244: $31 <= 00000060
@00003248: $31 <= 00000078
@0000324c: $31 <= 00000008
@00003250: $31 <= 0000000c
@00003254: $31 <= 0000005c
@0000325c: $31 <= 00000060
@00003260: *00001060 <= 00000060
@00003264: $31 <= 00000014
@00003268: $31 <= 0000004c
@0000326c: $31 <= 00000058
@00003274: $31 <= 0000005c
@00003278: *0000105c <= 0000005c
@0000327c: $31 <= 00000014
@00003280: $31 <= 0000004c
@00003284: $31 <= 00000058
@0000328c: $31 <= 0000005c
@00003290: $31 <= 00000064
@00003294: $31 <= 00000018
@00003298: $31 <= 00000044
@0000329c: $31 <= 00000014
@000032a4: $31 <= 00000018
@000032a8: $31 <= 00000020
@000032ac: $31 <= 00000004
