
@00003000: $ 8 <= 00000000
@00003004: *00000190 <= 00000000
@00003008: $ 1 <= 80000000
@0000300c: $ 8 <= 80000000
@00003010: *00000194 <= 80000000
@00003014: $ 1 <= 7fff0000
@00003018: $ 8 <= 7fffffff
@0000301c: *00000198 <= 7fffffff
@00003020: $ 8 <= 00007f00
@00003024: *0000019c <= 00007f00
@00003028: $ 8 <= 00007f10
@0000302c: *000001a0 <= 00007f10
@00003030: $19 <= 00000190
@00003034: $17 <= 00000005
@00003038: $16 <= 00000000
@0000303c: $18 <= 00000001
@00003044: $ 1 <= 00000000
@00003048: $19 <= 00000194
@0000304c: $ 8 <= 00007f0f
@00003050: $14 <= 00001926
@00003054: $30 <= 0000305c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003054
@0000418c: $15 <= 0000305c
@0000305c: $14 <= 00001926
@00003060: $30 <= 00003068
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003060
@0000418c: $15 <= 00003068
@00003068: $14 <= 00001926
@0000306c: $30 <= 00003074
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 0000306c
@0000418c: $15 <= 00003074
@00003074: $14 <= 00001926
@00003078: $30 <= 00003080
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003078
@0000418c: $15 <= 00003080
@00003080: $14 <= 00001926
@00003084: $30 <= 0000308c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003084
@0000418c: $15 <= 0000308c
@0000308c: $14 <= 00001926
@00003090: $30 <= 00003098
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003090
@0000418c: $15 <= 00003098
@00003098: $14 <= 00001926
@0000309c: $30 <= 000030a4
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 0000309c
@0000418c: $15 <= 000030a4
@000030a4: $14 <= 00001926
@000030a8: $30 <= 000030b0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000030a8
@0000418c: $15 <= 000030b0
@000030b0: $14 <= 00001926
@000030b4: $30 <= 000030bc
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000030b4
@0000418c: $15 <= 000030bc
